URL,Title,Author,,
https://mc-store.com/products/21st-century-rpg-free-ile-and-mvc,"21st Century RPG: /Free, ILE, and MVC",David Shirey,,
https://mc-store.com/products/5-keys-to-business-analytics-program-success,5 Keys to Business Analytics Program Success,"John Boyer, Bill Frank, Brian Green, Tracy Harris, and Kay Van De Vanter",,
https://mc-store.com/products/active-server-pages-primer,Active Server Pages Primer,Mike Faust,,
https://mc-store.com/products/administering-informix-dynamic-server,Administering Informix Dynamic Server,Carlton Doe,,
https://mc-store.com/products/advanced-guide-to-php-on-ibm-i,Advanced Guide to PHP on IBM i,Kevin Schroeder,,
https://mc-store.com/products/advanced-integrated-rpg,"Advanced, Integrated RPG",Thomas Snyder,,
https://mc-store.com/products/advanced-java-ee-development-for-rational-application-developer-7-5,Advanced Java EE Development for Rational Application Developer 7.5,"Kameron Cole, Robert McChesney, and Richard Raszka",,
https://mc-store.com/products/an-introduction-to-ibm-rational-application-developer,An Introduction to IBM Rational Application Developer,"Jane Fung, Colin Yu, Christian Lau, Ellen McKay, Gary Flood, James Hunter, Tim deBoer, Valentina Birsan, Yen Lu, Peter Walker, Joe Winchester, and Dr. Gili Mendel",,
https://mc-store.com/products/an-introduction-to-web-application-development-with-ibm-websphere-studio-exam-285,An Introduction to Web Application Development with IBM WebSphere Studio (Exam 285),Gary Craig and Peter Jakab,,
https://mc-store.com/products/artificial-intelligence-evolution-and-revolution,Artificial Intelligence: Evolution and Revolution,"Steven Astorino, Mark Simmonds, Dr. Jean-Francois Puget, Roger Sanders",,
https://mc-store.com/products/as-400-tcp-ip-handbook,AS/400 TCP/IP Handbook,Chris Peters,,
https://mc-store.com/products/big-data-analytics,Big Data Analytics,Dr. Arvind Sathi,,
https://mc-store.com/products/big-data-governance,Big Data Governance,Sunil Soares,,
https://mc-store.com/products/building-applications-with-ibm-rational-application-developer-and-javabeans,Building Applications with IBM Rational Application Developer and JavaBeans,Colette Burrus and Stephanie Parkin,,
https://mc-store.com/products/business-intelligence-strategy,Business Intelligence Strategy,"John Boyer, Bill Frank, Brian Green, Tracy Harris, and Kay Van De Vanter",,
https://mc-store.com/products/byte-ing-satire,BYTE-ing Satire,Joel Klebanoff,,
https://mc-store.com/products/complete-cl,Complete CL,Ted Holt,,
https://mc-store.com/products/complete-cl-sixth-edition,Complete CL: Sixth Edition,Ted Holt,,
