FileName,SKU,ISBN,Title,Pub Date,File Size,Pages,Category for Bot,Original Category,Pg %,Royalty,Words,Comment,,,,,,,,,,,,,,
5025 - 9781583470237_Text.pdf,5025,9781583470237,RPG IV at Work,10/01/00,39.0 MB,552,RPG,Programming,1.229%, $	9.22 ,,,,,,,,,,,,,,,,
5050 - 9781583470176_Text.pdf,5050,9781583470176,iSeries and AS/400 Programmer's Guide to Cool Things,02/01/02,39.2 MB,320,,Programming,0.712%, $	5.34 ,,,,,,,,,,,,,,,,
5056 - 9781583470411_Text.pdf,5056,9781583470411,e-RPG(v2) e-Volving RPG Applications for a Connected World,06/01/02,3.2 MB,400,RPG,Programming,0.891%, $	6.68 ,,,,,,,,,,,,,,,,
5058 - 9781583470435_Text.pdf,5058,9781583470435,Active Server Pages Primer,05/01/03,22.4 MB,230,,Programming,0.512%, $	3.84 ,,,,,,,,,,,,,,,,
5059 - 9781583470442_Text.pdf,5059,9781583470442,Eclipse: Step by Step,08/01/03,22.7 MB,376,,Programming,0.837%, $	6.28 ,,,,,,,,,,,,,,,,
5060 - 9781583470459_Text.pdf,5060,9781583470459,How to Become a Highly Paid Corporate Programmer,03/01/04,2.2 MB,228,,Management and Career,0.508%, $	3.81 ,,,,,,,,,,,,,,,,
5061 - 9781583470466_Text.pdf,5061,9781583470466,Qshell for iSeries,02/01/04,6.4 MB,592,,Operating Systems,1.318%, $	9.89 ,,,,,,,,,,,,,,,,
5063 - 9781583470480_Text.pdf,5063,9781583470480,SQL for eServer i5 and iSeries,09/01/04,3.0 MB,368,,Database,0.819%, $	6.15 ,,,,,,,,,,,,,,,,
5066 - 9781583470510_Text.pdf,5066,9781583470510,WDSC: Step by Step,12/01/04,44.2 MB,616,,Application Development,1.372%, $	10.29 ,,,,,,,,,,,,,,,,
5068 - 9781583470534_Text.pdf,5068,9781583470534,Fundamentals of Technology Project Management: First Edition,12/01/04,4.6 MB,520,,Management and Career,1.158%, $	8.68 ,,,,,,,,,,,,,,,,
